Date,Time,Depth,Location,Site,Method,Replicate,Type,Observer,Species,Size,Count
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Transect,4,20 m,HFY,Scolopsis margaritifera,15--20,2
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Transect,4,20 m,HFY,Thalassoma lunare,10--15,1
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Transect,4,20 m,HFY,Cheilinus fasciatus,15--20,1
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Transect,4,20 m,HFY,Cirrhilabrus punctatus,10--15,1
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Transect,4,20 m,HFY,Lutjanus carponotatus,25--30,6
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Transect,4,20 m,HFY,Labroides dimidiatus,10--15,1
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Transect,4,20 m,HFY,Kyphosis cinerascens,25--30,2
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Transect,4,30 m,HFY,Scarus rivulatus,25--30,3
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Transect,4,30 m,HFY,Thalassoma lunare,10--15,1
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Transect,4,30 m,HFY,Kyphosis cinerascens,25--30,1
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Transect,4,30 m,HFY,Diagramma pictum,35--40,3
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Transect,4,30 m,HFY,Lutjanus carponotatus,20--25,7
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Transect,4,30 m,HFY,Chaetodon aureofasciatus,10--15,2
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Transect,4,30 m,HFY,Chlorurus bleekeri,15--20,1
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Transect,4,30 m,HFY,Kyphosis vaigiensis,20--25,4
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Transect,4,30 m,HFY,Lutjanus sebae,25--30,1
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Transect,4,30 m,HFY,Choerodon fasciatus,15--20,1
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Transect,4,30 m,HFY,Chaetodon melannotus,10--15,2
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Transect,4,30 m,HFY,Hemigymnus melapterus,10--15,1
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Point,3,Instant,HFY,Chlorurus microrhinus,35--40,2
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Point,3,Instant,HFY,Thalassoma lunare,10--15,2
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Point,3,Instant,HFY,Scarus rivulatus,15--20,1
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Point,3,10 min,HFY,Chlorurus microrhinus,35--40,2
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Point,3,10 min,HFY,Scarus rivulatus,15--20,2
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Point,3,10 min,HFY,Scarus rivulatus,10--15,26
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Point,3,10 min,HFY,Choerodon anchorago,10--15,1
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Point,3,10 min,HFY,Chaetodon lunulatus,10--15,2
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Point,3,10 min,HFY,Scolopsis bilineata,10--15,2
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Point,3,10 min,HFY,Labroides dimidiatus,10--15,2
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Point,3,10 min,HFY,Scolopsis margaritifera,15--20,1
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Point,3,10 min,HFY,Siganus doliatus,15--20,6
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Point,3,10 min,HFY,Chaetodon aureofasciatus,10--15,4
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Point,3,10 min,HFY,Siganus doliatus,20--25,1
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Point,3,10 min,HFY,Acanthurus sp,15--20,15
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Point,3,10 min,HFY,Lethrinus harak,15--20,1
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Point,3,10 min,HFY,Lutjanus carponotatus,15--20,1
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Point,3,10 min,HFY,Scarus rivulatus,15--20,1
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Point,3,10 min,HFY,Scarus niger,15--20,2
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Point,3,10 min,HFY,Lethrinus harak,20--25,2
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Point,3,10 min,HFY,Chlorurus microrhinus,30--35,1
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Point,4,Instant,HFY,Acanthurus sp,15--20,7
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Point,4,Instant,HFY,Acanthurus sp,10--15,2
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Point,4,10 min,HFY,Acanthurus sp,15--20,3
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Point,4,10 min,HFY,Thalassoma lunare,10--15,7
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Point,4,10 min,HFY,Chaetodon aureofasciatus,10--15,4
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Point,4,10 min,HFY,Scarus niger,15--20,1
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Point,4,10 min,HFY,Hemigymnus melapterus,15--20,1
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Point,4,10 min,HFY,Lethrinus harak,15--20,1
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Point,4,10 min,HFY,Scarus rivulatus,10--15,6
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Point,4,10 min,HFY,Scolopsis bilineata,10--15,4
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Point,4,10 min,HFY,Siganus doliatus,15--20,3
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Point,4,10 min,HFY,Scarus rivulatus,20--25,1
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Point,4,10 min,HFY,Labroides dimidiatus,10--15,1
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Point,4,10 min,HFY,Chlorurus bleekeri,15--20,1
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Point,4,10 min,HFY,Plectropomus maculatus,25--30,1
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Point,4,10 min,HFY,Scolopsis margaritifera,10--15,1
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Point,4,10 min,HFY,Scolopsis bilineata,20--25,1
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Point,4,10 min,HFY,Cephalopholis cyanostigma,10--15,1
12/02/2023,,,Fantom Island,Snapper Point,Transect,1,20 m,HFY,Chaetodon baronessa,10--15,2
12/02/2023,,,Fantom Island,Snapper Point,Transect,1,20 m,HFY,Chaetodon aureofasciatus,10--15,3
12/02/2023,,,Fantom Island,Snapper Point,Transect,1,20 m,HFY,Lutjanus vitta,15--20,7
12/02/2023,,,Fantom Island,Snapper Point,Transect,1,20 m,HFY,Scarus rivulatus,10--15,2
12/02/2023,,,Fantom Island,Snapper Point,Transect,1,20 m,HFY,Scarus rivulatus,15--20,2
12/02/2023,,,Fantom Island,Snapper Point,Transect,1,20 m,HFY,Thalassoma lunare,10--15,2
12/02/2023,,,Fantom Island,Snapper Point,Transect,1,20 m,HFY,Siganus doliatus,10--15,1
12/02/2023,,,Fantom Island,Snapper Point,Transect,1,20 m,HFY,Chaetodon plebius,10--15,1
12/02/2023,,,Fantom Island,Snapper Point,Transect,1,20 m,HFY,Chlorurus spilurus,15--20,1
12/02/2023,,,Fantom Island,Snapper Point,Transect,1,20 m,HFY,Siganus lineatus,20--25,8
12/02/2023,,,Fantom Island,Snapper Point,Transect,1,20 m,HFY,Chaetodon rafflesi,10--15,1
12/02/2023,,,Fantom Island,Snapper Point,Transect,1,30 m,HFY,Chaetodon aureofasciatus,10--15,3
12/02/2023,,,Fantom Island,Snapper Point,Transect,1,30 m,HFY,Lutjanus vitta,15--20,33
12/02/2023,,,Fantom Island,Snapper Point,Transect,1,30 m,HFY,Scarus rivulatus,10--15,4
12/02/2023,,,Fantom Island,Snapper Point,Transect,1,30 m,HFY,Thalassoma lunare,10--15,2
12/02/2023,,,Fantom Island,Snapper Point,Transect,1,30 m,HFY,Siganus lineatus,20--25,10
12/02/2023,,,Fantom Island,Snapper Point,Transect,1,30 m,HFY,Scarus niger,10--15,2
12/02/2023,,,Fantom Island,Snapper Point,Transect,1,30 m,HFY,Chaetodon oxycephalus,10--15,1
12/02/2023,,,Fantom Island,Snapper Point,Transect,1,30 m,HFY,Siganus doliatus,15--20,1
12/02/2023,,,Fantom Island,Snapper Point,Transect,1,30 m,HFY,Chaetodon melannotus,15--20,3
12/02/2023,,,Fantom Island,Snapper Point,Transect,1,30 m,HFY,Chaetodon trifascialis,10--15,1
12/02/2023,,,Fantom Island,Snapper Point,Transect,1,30 m,HFY,Hemigymnus melapterus,10--15,1
12/02/2023,,,Fantom Island,Snapper Point,Transect,1,30 m,HFY,Labroides dimidiatus,10--15,1
12/02/2023,,,Fantom Island,Snapper Point,Transect,1,30 m,HFY,Halichoeres marginatus,10--15,4
12/02/2023,,,Fantom Island,Snapper Point,Transect,2,20 m,HFY,Lutjanus vitta,15--20,56
12/02/2023,,,Fantom Island,Snapper Point,Transect,2,20 m,HFY,Chaetodon aureofasciatus,10--15,14
12/02/2023,,,Fantom Island,Snapper Point,Transect,2,20 m,HFY,Siganus lineatus,20--25,8
12/02/2023,,,Fantom Island,Snapper Point,Transect,2,20 m,HFY,Thalassoma lunare,10--15,3
12/02/2023,,,Fantom Island,Snapper Point,Transect,2,20 m,HFY,Scarus niger,10--15,1
12/02/2023,,,Fantom Island,Snapper Point,Transect,2,20 m,HFY,Hemigymnus melapterus,10--15,1
12/02/2023,,,Fantom Island,Snapper Point,Transect,2,20 m,HFY,Labroides dimidiatus,10--15,2
12/02/2023,,,Fantom Island,Snapper Point,Transect,2,20 m,HFY,Scarus rivulatus,15--20,1
12/02/2023,,,Fantom Island,Snapper Point,Transect,2,20 m,HFY,Halichoeres marginatus,10--15,1
12/02/2023,,,Fantom Island,Snapper Point,Transect,2,30 m,HFY,Lutjanus vitta,15--20,8
12/02/2023,,,Fantom Island,Snapper Point,Transect,2,30 m,HFY,Chaetodon aureofasciatus,10--15,11
12/02/2023,,,Fantom Island,Snapper Point,Transect,2,30 m,HFY,Thalassoma lunare,10--15,5
12/02/2023,,,Fantom Island,Snapper Point,Transect,2,30 m,HFY,Labroides dimidiatus,10--15,1
12/02/2023,,,Fantom Island,Snapper Point,Transect,2,30 m,HFY,Scarus rivulatus,15--20,4
12/02/2023,,,Fantom Island,Snapper Point,Transect,2,30 m,HFY,Halichoeres marginatus,10--15,2
12/02/2023,,,Fantom Island,Snapper Point,Transect,2,30 m,HFY,Lutjanus carponotatus,15--20,3
12/02/2023,,,Fantom Island,Snapper Point,Transect,2,30 m,HFY,Cheilinus fasciatus,10--15,1
12/02/2023,,,Fantom Island,Snapper Point,Transect,2,30 m,HFY,Scarus niger,15--20,2
12/02/2023,,,Fantom Island,Snapper Point,Transect,2,30 m,HFY,Chaetodon aureofasciatus,15--20,1
12/02/2023,,,Fantom Island,Snapper Point,Transect,2,30 m,HFY,Anampses neoguinaicus,10--15,2
12/02/2023,,,Fantom Island,Snapper Point,Transect,2,30 m,HFY,Chaetodon trifascialis,10--15,2
12/02/2023,,,Fantom Island,Snapper Point,Transect,2,30 m,HFY,Thalassoma hardwicke,10--15,3
12/02/2023,,,Fantom Island,Snapper Point,Transect,2,30 m,HFY,Plectropomus leopardus,15--20,1
12/02/2023,,,Fantom Island,Snapper Point,Point,1,Instant,HFY,Chaetodon aureofasciatus,10--15,3
12/02/2023,,,Fantom Island,Snapper Point,Point,1,Instant,HFY,Scarus niger,10--15,40
12/02/2023,,,Fantom Island,Snapper Point,Point,1,10 min,HFY,Chaetodon aureofasciatus,10--15,6
12/02/2023,,,Fantom Island,Snapper Point,Point,1,10 min,HFY,Thalassoma lunare,10--15,4
12/02/2023,,,Fantom Island,Snapper Point,Point,1,10 min,HFY,Chaetodon trifascialis,10--15,1
12/02/2023,,,Fantom Island,Snapper Point,Point,1,10 min,HFY,Halichoeres marginatus,10--15,4
12/02/2023,,,Fantom Island,Snapper Point,Point,1,10 min,HFY,Scarus rivulatus,10--15,26
12/02/2023,,,Fantom Island,Snapper Point,Point,1,10 min,HFY,Cheilinus chlorurus,10--15,1
12/02/2023,,,Fantom Island,Snapper Point,Point,1,10 min,HFY,Lutjanus vitta,15--20,4
12/02/2023,,,Fantom Island,Snapper Point,Point,1,10 min,HFY,Lethrinus harak,15--20,1
12/02/2023,,,Fantom Island,Snapper Point,Point,1,10 min,HFY,Pomacanthus semicirculatus,20--25,1
12/02/2023,,,Fantom Island,Snapper Point,Point,1,10 min,HFY,Cephalopholis cyanostigma,15--20,1
12/02/2023,,,Fantom Island,Snapper Point,Point,1,10 min,HFY,Kyphosis cinerascens,15--20,2
12/02/2023,,,Fantom Island,Snapper Point,Point,1,10 min,HFY,Chelmon rostratus,15--20,1
12/02/2023,,,Fantom Island,Snapper Point,Point,1,10 min,HFY,Kyphosis vaigiensis,15--20,1
12/02/2023,,,Fantom Island,Snapper Point,Point,1,10 min,HFY,Cephalopholis cyanostigma,15--20,1
12/02/2023,,,Fantom Island,Snapper Point,Point,2,Instant,HFY,Naso unicornis,15--20,1
12/02/2023,,,Fantom Island,Snapper Point,Point,2,Instant,HFY,Siganus doliatus,15--20,3
12/02/2023,,,Fantom Island,Snapper Point,Point,2,Instant,HFY,Chaetodon aureofasciatus,10--15,4
12/02/2023,,,Fantom Island,Snapper Point,Point,2,10 min,HFY,Siganus doliatus,15--20,3
12/02/2023,,,Fantom Island,Snapper Point,Point,2,10 min,HFY,Chaetodon aureofasciatus,10--15,7
12/02/2023,,,Fantom Island,Snapper Point,Point,2,10 min,HFY,Chaetodon vagabundus,15--20,2
12/02/2023,,,Fantom Island,Snapper Point,Point,2,10 min,HFY,Hemigymnus melapterus,10--15,3
12/02/2023,,,Fantom Island,Snapper Point,Point,2,10 min,HFY,Scarus rivulatus,10--15,41
12/02/2023,,,Fantom Island,Snapper Point,Point,2,10 min,HFY,Scarus rivulatus,15--20,3
12/02/2023,,,Fantom Island,Snapper Point,Point,2,10 min,HFY,Lethrinus harak,15--20,3
12/02/2023,,,Fantom Island,Snapper Point,Point,2,10 min,HFY,Lutjanus vitta,15--20,2
12/02/2023,,,Fantom Island,Snapper Point,Point,2,10 min,HFY,Thalassoma lunare,10--15,4
12/02/2023,,,Fantom Island,Snapper Point,Point,2,10 min,HFY,Scarus niger,10--15,1
12/02/2023,,,Fantom Island,Snapper Point,Point,2,10 min,HFY,Acanthurus sp,15--20,4
12/02/2023,,,Fantom Island,Snapper Point,Point,2,10 min,HFY,Chlorurus spilurus,15--20,1
12/02/2023,,,Fantom Island,Snapper Point,Point,2,10 min,HFY,Lutjanus carponotatus,10--15,1
12/02/2023,,,Fantom Island,Snapper Point,Point,2,10 min,HFY,Scarus flavipectoralis,15--20,4
12/02/2023,,,Fantom Island,Snapper Point,Point,2,10 min,HFY,Labroides dimidiatus,10--15,2
12/02/2023,,,Fantom Island,Snapper Point,Point,2,10 min,HFY,Kyphosis vaigiensis,15--20,4
12/02/2023,,,Fantom Island,Snapper Point,Point,2,10 min,HFY,Choerodon anchorago,20--25,1
12/02/2023,,,Fantom Island,Snapper Point,Point,2,10 min,HFY,Scolopsis bilineata,15--20,1
12/02/2023,,,Fantom Island,Snapper Point,Point,2,10 min,HFY,Chelmon rostratus,15--20,1
12/02/2023,,,Fantom Island,Snapper Point,Transect,3,20 m,HFY,Thalassoma lunare,10--15,4
12/02/2023,,,Fantom Island,Snapper Point,Transect,3,20 m,HFY,Scolopsis bilineata,15--20,3
12/02/2023,,,Fantom Island,Snapper Point,Transect,3,20 m,HFY,Chaetodon plebius,10--15,1
12/02/2023,,,Fantom Island,Snapper Point,Transect,3,20 m,HFY,Chaetodon aureofasciatus,10--15,2
12/02/2023,,,Fantom Island,Snapper Point,Transect,3,20 m,HFY,Scarus rivulatus,10--15,4
12/02/2023,,,Fantom Island,Snapper Point,Transect,3,20 m,HFY,Scarus niger,10--15,2
12/02/2023,,,Fantom Island,Snapper Point,Transect,3,20 m,HFY,Scarus rivulatus,15--20,2
12/02/2023,,,Fantom Island,Snapper Point,Transect,3,20 m,HFY,Cephalopholis cyanostigma,15--20,1
12/02/2023,,,Fantom Island,Snapper Point,Transect,3,20 m,HFY,Cheilinus fasciatus,15--20,2
12/02/2023,,,Fantom Island,Snapper Point,Transect,3,20 m,HFY,Chlorurus spilurus,20--25,1
12/02/2023,,,Fantom Island,Snapper Point,Transect,3,20 m,HFY,Hemigymnus melapterus,10--15,1
12/02/2023,,,Fantom Island,Snapper Point,Transect,3,20 m,HFY,Scolopsis lineata,10--15,8
12/02/2023,,,Fantom Island,Snapper Point,Transect,3,20 m,HFY,Chaetodon baronessa,10--15,1
12/02/2023,,,Fantom Island,Snapper Point,Transect,3,20 m,HFY,Siganus doliatus,10--15,1
12/02/2023,,,Fantom Island,Snapper Point,Transect,3,30 m,HFY,Thalassoma lunare,10--15,5
12/02/2023,,,Fantom Island,Snapper Point,Transect,3,30 m,HFY,Scolopsis bilineata,15--20,1
12/02/2023,,,Fantom Island,Snapper Point,Transect,3,30 m,HFY,Chaetodon plebius,10--15,1
12/02/2023,,,Fantom Island,Snapper Point,Transect,3,30 m,HFY,Chaetodon aureofasciatus,10--15,5
