"Day","Observer","Location","Distance_time","Replicate","block_ID","Biomass","Abundance","Richness","Genus_richness","Area"
13,"ACS","Fantome_Island","10min",2,"13_2_ACS",5083.73823177725,34,13,8,78.5
13,"ACS","Fantome_Island","10min",3,"13_3_ACS",34515.8636821015,80,9,8,78.5
13,"ACS","Fantome_Island","10min",4,"13_4_ACS",1532.98821885574,24,13,10,78.5
13,"ACS","Fantome_Island","20m",1,"13_1_ACS",5100.66504277312,25,9,6,100
13,"ACS","Fantome_Island","20m",2,"13_2_ACS",3918.79606642581,21,12,9,100
13,"ACS","Fantome_Island","20m",3,"13_3_ACS",3355.2340926241,29,13,11,100
13,"ACS","Fantome_Island","20m",4,"13_4_ACS",14406.1490274549,46,13,8,100
13,"ACS","Fantome_Island","30m",1,"13_1_ACS",8458.59733243317,38,14,8,150
13,"ACS","Fantome_Island","30m",2,"13_2_ACS",5446.84193888022,33,11,7,150
13,"ACS","Fantome_Island","30m",3,"13_3_ACS",4595.55120794128,47,11,9,150
13,"ACS","Fantome_Island","30m",4,"13_4_ACS",8303.91363287885,34,11,9,150
13,"ACS","Fantome_Island","50m",1,"13_1_ACS",13559.2623752063,63,18,9,250
13,"ACS","Fantome_Island","50m",2,"13_2_ACS",9365.63800530602,54,21,11,250
13,"ACS","Fantome_Island","50m",3,"13_3_ACS",7950.78530056538,76,18,14,250
13,"ACS","Fantome_Island","50m",4,"13_4_ACS",22710.0626603338,80,19,13,250
13,"ACS","Fantome_Island","Instant",1,"13_1_ACS",683.084729628297,4,4,4,78.5
13,"ACS","Fantome_Island","Instant",2,"13_2_ACS",2312.47743857566,16,8,6,78.5
13,"ACS","Fantome_Island","Instant",3,"13_3_ACS",1510.79398010837,10,3,3,78.5
13,"ACS","Fantome_Island","Instant",4,"13_4_ACS",326.223766904035,10,5,4,78.5
13,"HFY","Fantome_Island","10min",1,"13_1_HFY",2397.06605671467,33,14,10,78.5
13,"HFY","Fantome_Island","10min",2,"13_2_HFY",3021.22051722038,24,14,9,78.5
13,"HFY","Fantome_Island","10min",3,"13_3_HFY",1283.91528092362,33,15,12,78.5
13,"HFY","Fantome_Island","10min",4,"13_4_HFY",4585.5876365762,31,14,12,78.5
13,"HFY","Fantome_Island","20m",1,"13_1_HFY",1790.9103605776,35,11,9,100
13,"HFY","Fantome_Island","20m",2,"13_2_HFY",5463.93471800717,39,15,10,100
13,"HFY","Fantome_Island","20m",3,"13_3_HFY",44253.1485133653,40,10,10,100
13,"HFY","Fantome_Island","20m",4,"13_4_HFY",37777.6660877235,60,12,9,100
13,"HFY","Fantome_Island","30m",1,"13_1_HFY",4393.08802803422,45,8,6,150
13,"HFY","Fantome_Island","30m",2,"13_2_HFY",4093.67204544746,38,11,8,150
13,"HFY","Fantome_Island","30m",3,"13_3_HFY",7756.03387227216,46,16,12,150
13,"HFY","Fantome_Island","30m",4,"13_4_HFY",15676.3412515467,48,17,10,150
13,"HFY","Fantome_Island","50m",1,"13_1_HFY",6183.99838861182,80,14,11,250
13,"HFY","Fantome_Island","50m",2,"13_2_HFY",9557.60676345462,77,19,13,250
13,"HFY","Fantome_Island","50m",3,"13_3_HFY",52009.1823856374,86,21,15,250
13,"HFY","Fantome_Island","50m",4,"13_4_HFY",53454.0073392701,108,21,13,250
13,"HFY","Fantome_Island","Instant",1,"13_1_HFY",218.040080355441,5,5,5,78.5
13,"HFY","Fantome_Island","Instant",2,"13_2_HFY",950.125909658334,7,6,4,78.5
13,"HFY","Fantome_Island","Instant",3,"13_3_HFY",7422.05330281115,16,4,3,78.5
13,"HFY","Fantome_Island","Instant",4,"13_4_HFY",270.108621859703,4,3,3,78.5
13,"SBT","Fantome_Island","10min",1,"13_1_SBT",7897.60202656571,45,16,12,78.5
13,"SBT","Fantome_Island","10min",2,"13_2_SBT",13749.9454439229,76,15,11,78.5
13,"SBT","Fantome_Island","10min",3,"13_3_SBT",9000.08755316152,47,21,13,78.5
13,"SBT","Fantome_Island","10min",4,"13_4_SBT",3122.74701439758,33,14,10,78.5
13,"SBT","Fantome_Island","20m",1,"13_1_SBT",1813.72322588204,15,7,5,100
13,"SBT","Fantome_Island","20m",2,"13_2_SBT",2054.84619449303,20,5,4,100
13,"SBT","Fantome_Island","20m",3,"13_3_SBT",1336.96512495062,13,6,5,100
13,"SBT","Fantome_Island","20m",4,"13_4_SBT",2221.216425738,18,10,9,100
13,"SBT","Fantome_Island","30m",1,"13_1_SBT",4011.96963691811,38,9,8,150
13,"SBT","Fantome_Island","30m",2,"13_2_SBT",5255.94903358115,31,11,10,150
13,"SBT","Fantome_Island","30m",3,"13_3_SBT",3190.22756433215,42,11,10,150
13,"SBT","Fantome_Island","30m",4,"13_4_SBT",3351.45573819343,39,9,7,150
13,"SBT","Fantome_Island","50m",1,"13_1_SBT",5825.69286280016,53,14,9,250
13,"SBT","Fantome_Island","50m",2,"13_2_SBT",7310.79522807418,51,14,11,250
13,"SBT","Fantome_Island","50m",3,"13_3_SBT",4527.19268928277,55,14,11,250
13,"SBT","Fantome_Island","50m",4,"13_4_SBT",5572.67216393143,57,16,11,250
13,"SBT","Fantome_Island","Instant",1,"13_1_SBT",1254.96943350285,6,5,5,78.5
13,"SBT","Fantome_Island","Instant",2,"13_2_SBT",26116.4973807041,61,2,2,78.5
13,"SBT","Fantome_Island","Instant",3,"13_3_SBT",1103.76687563999,7,7,6,78.5
13,"SBT","Fantome_Island","Instant",4,"13_4_SBT",347.629969062379,5,4,4,78.5
13,"SKC","Fantome_Island","10min",1,"13_1_SKC",6466.12442069381,55,13,8,78.5
13,"SKC","Fantome_Island","10min",2,"13_2_SKC",8784.47994248092,85,18,10,78.5
13,"SKC","Fantome_Island","10min",3,"13_3_SKC",4803.99190111768,37,15,8,78.5
13,"SKC","Fantome_Island","10min",4,"13_4_SKC",7331.25617398165,70,18,12,78.5
13,"SKC","Fantome_Island","20m",1,"13_1_SKC",1916.28655331202,34,5,4,100
13,"SKC","Fantome_Island","20m",2,"13_2_SKC",1832.59810916211,22,11,7,100
13,"SKC","Fantome_Island","20m",3,"13_3_SKC",3358.47655817085,32,7,5,100
13,"SKC","Fantome_Island","20m",4,"13_4_SKC",6563.77695653076,57,6,6,100
13,"SKC","Fantome_Island","30m",1,"13_1_SKC",6655.68611976788,26,9,6,150
13,"SKC","Fantome_Island","30m",2,"13_2_SKC",3601.2819462925,32,13,9,150
13,"SKC","Fantome_Island","30m",3,"13_3_SKC",2950.98584437188,33,10,7,150
13,"SKC","Fantome_Island","30m",4,"13_4_SKC",5884.19293856035,50,10,9,150
13,"SKC","Fantome_Island","50m",1,"13_1_SKC",8571.9726730799,60,12,7,250
13,"SKC","Fantome_Island","50m",2,"13_2_SKC",5433.88005545461,54,19,12,250
13,"SKC","Fantome_Island","50m",3,"13_3_SKC",6309.46240254272,65,14,9,250
13,"SKC","Fantome_Island","50m",4,"13_4_SKC",12447.9698950911,107,13,10,250
13,"SKC","Fantome_Island","Instant",1,"13_1_SKC",1569.11932550171,10,3,2,78.5
13,"SKC","Fantome_Island","Instant",2,"13_2_SKC",5202.89669029992,38,10,6,78.5
13,"SKC","Fantome_Island","Instant",3,"13_3_SKC",1454.19590899976,13,2,2,78.5
13,"SKC","Fantome_Island","Instant",4,"13_4_SKC",2602.66680043697,26,8,7,78.5
14,"ACS","Fantome_Island","10min",1,"14_1_ACS",8186.34301518051,41,11,8,78.5
14,"ACS","Fantome_Island","10min",2,"14_2_ACS",7879.11137309085,56,17,10,78.5
14,"ACS","Fantome_Island","10min",3,"14_3_ACS",2015.22127266417,27,14,11,78.5
14,"ACS","Fantome_Island","10min",4,"14_4_ACS",1844.46194798294,23,12,8,78.5
14,"ACS","Fantome_Island","20m",1,"14_1_ACS",1102.26397982804,9,6,5,100
14,"ACS","Fantome_Island","20m",2,"14_2_ACS",1899.6576337469,16,9,5,100
14,"ACS","Fantome_Island","20m",3,"14_3_ACS",3254.14312740506,25,9,7,100
14,"ACS","Fantome_Island","20m",4,"14_4_ACS",2940.55430233823,35,12,9,100
14,"ACS","Fantome_Island","30m",1,"14_1_ACS",4393.97402265487,35,7,7,150
14,"ACS","Fantome_Island","30m",2,"14_2_ACS",3467.09834374799,24,14,12,150
14,"ACS","Fantome_Island","30m",3,"14_3_ACS",3058.9652220217,32,15,10,150
14,"ACS","Fantome_Island","30m",4,"14_4_ACS",2301.1719798818,32,12,9,150
14,"ACS","Fantome_Island","50m",1,"14_1_ACS",5496.23800248291,44,11,7,250
14,"ACS","Fantome_Island","50m",2,"14_2_ACS",5366.75597749489,40,18,12,250
14,"ACS","Fantome_Island","50m",3,"14_3_ACS",6313.10834942676,57,18,11,250
14,"ACS","Fantome_Island","50m",4,"14_4_ACS",5241.72628222002,67,18,12,250
14,"ACS","Fantome_Island","Instant",1,"14_1_ACS",7421.73002605315,33,5,4,78.5
14,"ACS","Fantome_Island","Instant",2,"14_2_ACS",3214.99016283845,22,4,4,78.5
14,"ACS","Fantome_Island","Instant",3,"14_3_ACS",524.419574321827,6,4,4,78.5
14,"ACS","Fantome_Island","Instant",4,"14_4_ACS",892.167127317772,10,5,4,78.5
14,"HFY","Fantome_Island","10min",1,"14_1_HFY",9707.68679039627,57,19,13,78.5
14,"HFY","Fantome_Island","10min",2,"14_2_HFY",18800.7761916742,44,21,13,78.5
14,"HFY","Fantome_Island","10min",3,"14_3_HFY",3981.06970920894,37,16,11,78.5
14,"HFY","Fantome_Island","10min",4,"14_4_HFY",4944.16390764543,48,14,10,78.5
14,"HFY","Fantome_Island","20m",1,"14_1_HFY",3123.93952673258,22,9,8,100
14,"HFY","Fantome_Island","20m",2,"14_2_HFY",3702.52652225579,34,15,9,100
14,"HFY","Fantome_Island","20m",3,"14_3_HFY",7475.97709962995,41,14,11,100
14,"HFY","Fantome_Island","20m",4,"14_4_HFY",4058.24532971602,32,14,11,100
14,"HFY","Fantome_Island","30m",1,"14_1_HFY",7637.02808011605,74,11,8,150
14,"HFY","Fantome_Island","30m",2,"14_2_HFY",2622.72047698171,28,11,8,150
14,"HFY","Fantome_Island","30m",3,"14_3_HFY",11993.2994055057,76,15,9,150
14,"HFY","Fantome_Island","30m",4,"14_4_HFY",10668.2131495937,44,11,9,150
14,"HFY","Fantome_Island","50m",1,"14_1_HFY",10760.9676068486,96,14,10,250
14,"HFY","Fantome_Island","50m",2,"14_2_HFY",6325.24699923751,62,19,11,250
14,"HFY","Fantome_Island","50m",3,"14_3_HFY",19469.2765051357,117,24,14,250
14,"HFY","Fantome_Island","50m",4,"14_4_HFY",14726.4584793097,76,19,15,250
14,"HFY","Fantome_Island","Instant",1,"14_1_HFY",1953.76599640372,13,8,5,78.5
14,"HFY","Fantome_Island","Instant",2,"14_2_HFY",5267.61742107257,11,5,4,78.5
14,"HFY","Fantome_Island","Instant",3,"14_3_HFY",2535.19694621161,10,4,4,78.5
14,"HFY","Fantome_Island","Instant",4,"14_4_HFY",262.66020763001,4,4,4,78.5
14,"SBT","Fantome_Island","10min",1,"14_1_SBT",3852.92465330443,38,14,11,78.5
14,"SBT","Fantome_Island","10min",2,"14_2_SBT",2604.25131996803,18,13,10,78.5
14,"SBT","Fantome_Island","10min",3,"14_3_SBT",5536.00597808184,50,15,12,78.5
14,"SBT","Fantome_Island","10min",4,"14_4_SBT",12165.5079452496,34,18,14,78.5
14,"SBT","Fantome_Island","20m",1,"14_1_SBT",14921.049286081,72,8,5,100
14,"SBT","Fantome_Island","20m",2,"14_2_SBT",486.912390077036,6,2,2,100
14,"SBT","Fantome_Island","20m",3,"14_3_SBT",5602.69742176008,14,9,8,100
14,"SBT","Fantome_Island","20m",4,"14_4_SBT",2483.97081767321,13,7,6,100
14,"SBT","Fantome_Island","30m",1,"14_1_SBT",5407.57950903202,27,12,10,150
14,"SBT","Fantome_Island","30m",2,"14_2_SBT",3595.67373249021,22,9,9,150
14,"SBT","Fantome_Island","30m",3,"14_3_SBT",27677.2463916679,46,18,16,150
14,"SBT","Fantome_Island","30m",4,"14_4_SBT",6398.74443323917,37,10,7,150
14,"SBT","Fantome_Island","50m",1,"14_1_SBT",20328.628795113,99,17,11,250
14,"SBT","Fantome_Island","50m",2,"14_2_SBT",4082.58612256724,28,9,9,250
14,"SBT","Fantome_Island","50m",3,"14_3_SBT",33279.943813428,60,22,18,250
14,"SBT","Fantome_Island","50m",4,"14_4_SBT",8882.71525091238,50,12,9,250
14,"SBT","Fantome_Island","Instant",1,"14_1_SBT",999.91840674465,10,6,6,78.5
14,"SBT","Fantome_Island","Instant",2,"14_2_SBT",568.628462969801,6,6,5,78.5
14,"SBT","Fantome_Island","Instant",3,"14_3_SBT",14218.8562668116,43,5,4,78.5
14,"SBT","Fantome_Island","Instant",4,"14_4_SBT",12558.6937952959,56,10,8,78.5
14,"SKC","Fantome_Island","10min",1,"14_1_SKC",3561.25947829637,36,16,12,78.5
14,"SKC","Fantome_Island","10min",2,"14_2_SKC",4770.95150428285,54,11,8,78.5
14,"SKC","Fantome_Island","10min",3,"14_3_SKC",13204.1772414805,27,10,8,78.5
14,"SKC","Fantome_Island","10min",4,"14_4_SKC",15082.535845788,104,16,9,78.5
14,"SKC","Fantome_Island","20m",1,"14_1_SKC",4244.81636190003,41,10,7,100
14,"SKC","Fantome_Island","20m",2,"14_2_SKC",3189.45070625024,22,12,10,100
14,"SKC","Fantome_Island","20m",3,"14_3_SKC",4183.17876473295,22,4,3,100
14,"SKC","Fantome_Island","20m",4,"14_4_SKC",2324.52035256,9,5,4,100
14,"SKC","Fantome_Island","30m",1,"14_1_SKC",5521.25475331172,18,14,11,150
14,"SKC","Fantome_Island","30m",2,"14_2_SKC",6000.79005861902,37,9,8,150
14,"SKC","Fantome_Island","30m",3,"14_3_SKC",14839.1742170293,66,16,11,150
